gemeinde;ort_id;ort
Wustrow;42;Neu Drosedow (Wustrow)
Wulkenzin;939;Neuendorf (Wulkenzin)
Altenhagen;137;Neuenhagen (Altenhagen)
Neuenkirchen;668;Neuenkirchen (Neuenkirchen)
Waren (Müritz), Stadt;869;Neu Falkenhagen (Waren (Müritz), Stadt)
Jabel;493;Neu Gaarz (Jabel)
Lärz;89;Neu Gaarz (Lärz)
Feldberger Seenlandschaft;328;Neugarten (Feldberger Seenlandschaft)
Fünfseen;31;Neu Grüssow (Fünfseen)
Basedow;18;Neuhäuser (Basedow)
Blankensee;55;Neuhof (Blankensee)
Feldberger Seenlandschaft;342;Neuhof (Feldberger Seenlandschaft)
Klocksin;1681;Neuhof (Klocksin)
Penzlin, Stadt;276;Neuhof (Penzlin, Stadt)
Stavenhagen, Reuterstadt, Sta*;817;Neu Jürgensdorf (Stavenhagen, Reuterstadt, Sta*)
Cölpin;222;Neu Käbelich (Cölpin)
Kentzlin;3;Neu Kentzlin (Kentzlin)
Eldetal;82;Neukrug (Eldetal)
Malchin, Stadt;575;Neu Panstorf (Malchin, Stadt)
Wulkenzin;944;Neu Rhäse (Wulkenzin)
Klocksin;522;Neu Sapshagen (Klocksin)
Schloen-Dratow;768;Neu Schloen (Schloen-Dratow)
Peenehagen;711;Neu Schönau (Peenehagen)
Schönbeck;125;Neu Schönbeck (Schönbeck)
Sommersdorf;7;Neu Sommersdorf (Sommersdorf)
Stuer;821;Neu Stuer (Stuer)
Pripsleben;133;Neuwalde (Pripsleben)
Wustrow;946;Neu Wustrow (Wustrow)
Neverin;698;Neverin (Neverin)
Nossendorf;703;Nossendorf (Nossendorf)
Nossentiner Hütte;706;Nossentiner Hütte (Nossentiner Hütte)
Silz;802;Nossentin (Silz)
Schloen-Dratow;112;Oberschloen (Schloen-Dratow)
Carpin;286;Oberzinow (Carpin)
Woldegk, Stadt;906;Oertzenhof (Woldegk, Stadt)
Kittendorf;502;Oevelgünde (Kittendorf)
Grünow;461;Ollendorf (Grünow)
Woldegk, Stadt;930;Oltschlott (Woldegk, Stadt)
Alt Schwerin;33;Ortkrug (Alt Schwerin)
Wustrow;41;Pälitzhof (Wustrow)
Grabowhöfe;423;Panschenhagen (Grabowhöfe)
Woldegk, Stadt;905;Pasenow (Woldegk, Stadt)
Penzlin, Stadt;250;Passentin (Penzlin, Stadt)
Klein Vielen;511;Peckatel (Klein Vielen)
Gielow;22;Peenhäuser (Gielow)
Hohenmocker;468;Peeselin (Hohenmocker)
Mirow, Stadt;601;Peetsch (Mirow, Stadt)
Wesenberg, Stadt;47;Pelzkuhl (Wesenberg, Stadt)
Penkow;719;Penkow (Penkow)
Kletzin;516;Pensin (Kletzin)
Borrentin;183;Pentz (Borrentin)
Fünfseen;30;Petersdorf (Fünfseen)
Woldegk, Stadt;721;Petersdorf (Woldegk, Stadt)
Woldegk, Stadt;918;Pfarrhof (Woldegk, Stadt)
Altenhagen;135;Philippshof (Altenhagen)
Kratzeburg;534;Pieverstorf (Kratzeburg)
Breesen;188;Pinnow (Breesen)
Malchin, Stadt;323;Pinnow (Malchin, Stadt)
Malchin, Stadt;13;Pisede (Malchin, Stadt)
Lindetal;560;Plath (Lindetal)
Datzetal;300;Pleetz (Datzetal)
Trollenhagen;827;Podewall (Trollenhagen)
Schönbeck;770;Poggendorf (Schönbeck)
Göhren-Lebbin;408;Poppentin (Göhren-Lebbin)
Pragsdorf;723;Pragsdorf (Pragsdorf)
Neustrelitz, Stadt;695;Prälank (Neustrelitz, Stadt)
Stavenhagen, Reuterstadt, Sta*;810;Pribbenow (Stavenhagen, Reuterstadt, Sta*)
Priborn;725;Priborn (Priborn)
Priepert;726;Priepert (Priepert)
